,Product_PO,SKU_PO,Quantity_PO,Cost_PO,Discounts($)_PO,Discounts(%)_PO,Global Discounts($)_PO,Tax(%)_PO,Total_PO,Notes_PO,Line #_INV,Whse Status_INV,Mac SKU #_INV,Cust Item #_INV,Description_INV,Qty Ord_INV,Qty Shipped_INV,Qty B/O_INV,List Price_INV,Discount %_INV,Net Price_INV,UOM_INV,Ext Price_INV,UPC/EAN_INV,Account #_INV,PO #_INV,Order #_INV,BO #_INV,Invoice #_INV,Box #_INV,Same QTY,Same PRICE
PX264606000,POSCA PC-5M Medium (Fluorescent Pink),4.90278E+12,3.0,1.6,-,-,-,-,4.8,0.0,59.0,Shipped 05/15/2023,81917.0,0.0,PC-5M MEDIUM FLUO PINK,3.0,3.0,0.0,4.45,60.0,1.78,PE,5.34,E-4902778198070,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.17999999999999994
PX264317000,POSCA PC-5M Medium (Gold),4.90278E+12,3.0,1.6,-,-,-,-,4.8,0.0,60.0,Shipped 05/15/2023,76927.0,0.0,PC-5M MEDIUM GOLD,3.0,3.0,0.0,4.45,60.0,1.78,PE,5.34,E-4902778916261,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.17999999999999994
PX264382000,POSCA PC-5M Medium (Ivory),4.90278E+12,3.0,1.6,-,-,-,-,4.8,0.0,61.0,Shipped 05/15/2023,76900.0,0.0,PC-5M MEDIUM IVORY,3.0,3.0,0.0,4.45,60.0,1.78,PE,5.34,E-4902778107454,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.17999999999999994
PX264325000,POSCA PC-5M Medium (Silver),4.90278E+12,3.0,1.6,-,-,-,-,4.8,0.0,62.0,Shipped 05/15/2023,76928.0,0.0,PC-5M MEDIUM SILVER,3.0,3.0,0.0,4.45,60.0,1.78,PE,5.34,E-4902778916278,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.17999999999999994
PX264408000,POSCA PC-5M Medium (Straw Yellow),4.90278E+12,3.0,1.6,-,-,-,-,4.8,0.0,63.0,Shipped 05/15/2023,76903.0,0.0,PC-5M MEDIUM STRAW YELLOW,3.0,3.0,0.0,4.45,60.0,1.78,PE,5.34,E-4902778107478,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.17999999999999994
PX264168000,POSCA PC-5M Medium (White),4.90278E+12,6.0,1.6,-,-,-,-,9.6,0.0,64.0,Shipped 05/15/2023,76930.0,0.0,PC-5M MEDIUM WHITE,6.0,6.0,0.0,4.45,60.0,1.78,PE,10.68,E-4902778916254,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,0.0,0.17999999999999994
PX264176000,POSCA PC-5M Medium (Yellow),4.90278E+12,3.0,1.6,-,-,-,-,4.8,0.0,65.0,Shipped 05/15/2023,76914.0,0.0,PC-5M MEDIUM YELLOW,3.0,3.0,0.0,4.45,60.0,1.78,PE,5.34,E-4902778916162,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,0.0,0.17999999999999994
PX148791000,POSCA PC-8K Broad Chisel (White),4.90278E+12,4.0,2.6,-,-,-,-,10.4,0.0,66.0,Shipped 05/15/2023,76948.0,0.0,PC-8K BROAD WHITE,4.0,4.0,0.0,7.1,60.0,2.84,PE,11.36,E-4902778916599,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,0.0,0.23999999999999977
PB3750LB-100,Princeton Select Brushes Blenders (Lunar Blender 1''),7.57063E+11,2.0,3.61,-,-,-,-,7.22,0.0,67.0,Shipped 05/15/2023,28920.0,0.0,SELECT LUNAR BLENDER 1,2.0,2.0,0.0,13.15,67.0,4.34,BR,8.68,U-757063375742,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.73
PB3750BB-150,"Princeton Select Artiste Brush White Bristle Bright 1-1/2""",7.57063E+11,4.0,3.61,-,-,-,-,14.44,0.0,68.0,Shipped 05/15/2023,28875.0,0.0,SELECT WHTE BRISTLE BRIGHT1.5,4.0,4.0,0.0,13.15,67.0,4.34,BR,17.36,U-757063375599,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.73
SA2023751,Prismacolor Premier 12 Colored Pencil Set Under the Sea,70735007711,3.0,12.57,-,-,-,-,37.71,0.0,71.0,Shipped 05/15/2023,83673.0,0.0,PRISMA PNCL UNDR THE SEA SE/12,3.0,3.0,0.0,25.14,55.0,11.31,SE,33.93,U-070735007711,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,0.0,-1.2599999999999998
