,Product_PO,SKU_PO,Quantity_PO,Cost_PO,Discounts($)_PO,Discounts(%)_PO,Global Discounts($)_PO,Tax(%)_PO,Total_PO,Notes_PO,Line #_INV,Whse Status_INV,Mac SKU #_INV,Cust Item #_INV,Description_INV,Qty Ord_INV,Qty Shipped_INV,Qty B/O_INV,List Price_INV,Discount %_INV,Net Price_INV,UOM_INV,Ext Price_INV,UPC/EAN_INV,Account #_INV,PO #_INV,Order #_INV,BO #_INV,Invoice #_INV,Box #_INV,Same Qty
CW3501,Pocket Color Wheel,88107235013,3.0,2.41,-,-,-,-,7.23,,138.0,Shipped 05/15/2023,762679.0,,POCKET COLOR WHEEL 5 1/8IN,3.0,3.0,0.0,4.39,45.0,2.41,CD,7.23,U-088107235013,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,True
ED4200-6099,Porcelain Brush Pen 6 Cool Color Set,4.00476E+12,2.0,8.48,-,-,-,-,16.96,,139.0,Shipped 05/15/2023,93730.0,,4200 PORC BRUSH SET/6 COOL,2.0,2.0,0.0,16.95,50.0,8.48,SE,16.96,E-4004764960699,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
XA3601Q3,Knife #1 With Safety Cap X-Acto,79946360103,21.0,3.57,-,-,-,-,74.97,,142.0,Shipped 05/15/2023,103893.0,,KNIFE #1 W/SAFETY CAP CARDED,21.0,0.0,0.0,5.95,40.0,3.57,CD,0.0,U-079946360103,3003330000.0,ALB1381,N3240731,0.0,14596857.0,,False
YO6K,Kozo Japanese Art Paper,31248981608,3.0,11.87,-,-,-,-,35.61,,143.0,Shipped 05/15/2023,101987.0,,KOZO PAPER 10 1/2X13 3/4 10SH,3.0,3.0,0.0,21.99,54.5,10.01,PK,30.03,U-031248981608,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
RYRART-110,Large Area Brush 3 Pack Bristle,90672008664,6.0,1.71,-,-,-,-,10.26,,144.0,Shipped 05/15/2023,296589.0,,LG AREA BRSH SE 3PK BRISTLE,6.0,6.0,0.0,4.49,62.0,1.71,CD,10.26,U-090672008664,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,True
RLROC04-0260,Leather Lace 1/8 Inch x 4 yard Light Brown,8.70192E+11,3.0,2.75,-,-,-,-,8.25,,145.0,Shipped 05/15/2023,62369.0,,LATIGO LACE 1/8INX4YD CHFTN,3.0,3.0,0.0,5.5,50.0,2.75,CD,8.25,U-870192001341,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
AWCT2169,Let's Learn to Sew Kit,8.11069E+11,2.0,10.0,-,-,-,-,20.0,,146.0,Shipped 05/15/2023,100170.0,,LETS LEARN TO SEW KIT,2.0,2.0,0.0,20.99,50.0,10.5,EA,21.0,U-811069031269,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
GPS-415BP,Little Red All Art Sharpener with Canister,44974415019,7.0,1.33,-,-,-,-,9.31,,147.0,Shipped 05/15/2023,31732.0,,SHARPENER LITTLE RED CANNISTER,7.0,7.0,0.0,2.66,50.0,1.33,CD,9.31,U-044974415019,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,True
PLK98-W,Milky Pop .8mm Pen White Pastel,72512269015,12.0,1.54,-,-,-,-,18.48,,148.0,Shipped 05/15/2023,83714.0,,MILKY POP .8MM WHITE PASTEL,12.0,12.0,0.0,2.85,46.0,1.54,PE,18.48,U-072512269015,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
LP140WH23,Mini Paper Pad Stonehenge Aqua Coldpress,6.45248E+11,20.0,1.2,-,-,-,-,24.0,,149.0,Shipped 05/15/2023,91188.0,,STNHNGE AQUA PD 140LB MINI CP,20.0,20.0,0.0,2.67,55.0,1.2,PD,24.0,U-645248440920,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
LP135WH23,Mini Paper Pad Stonehenge Light,6.45248E+11,10.0,1.2,-,-,-,-,12.0,,150.0,Shipped 05/15/2023,91192.0,,STNHNGE LIGHT PD MINI 30SH,10.0,10.0,0.0,2.67,55.0,1.2,PD,12.0,U-645248434158,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
AA17358,Mini Ribbon Sculpting Tool Set,82435173580,2.0,6.65,-,-,-,-,13.3,,151.0,Shipped 05/15/2023,72887.0,,RIBBON TOOL METAL 6PC SET,2.0,2.0,0.0,20.99,65.0,7.35,SE,14.7,U-082435173580,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,True
FR7119100597,Fabriano 1264 Watercolor Pad Spiral-Bound 9 x 12 140 lb.,8.00135E+12,8.0,6.29,-,-,-,-,50.32,,153.0,Shipped 05/15/2023,97464.0,,1264 WC WB 140CP 9X12 30SH,8.0,8.0,0.0,19.35,67.5,6.29,PD,50.32,E-8001348210665,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
TNF1250C,Finetec Artist Pearlescent Watercolor Pan Refill (Amethyst),4.2514E+12,4.0,3.58,-,-,-,-,14.32,,154.0,Shipped 05/15/2023,97711.0,,FNTC CLR SQU PEARL AMETHYST,4.0,4.0,0.0,8.95,64.0,3.22,CD,12.88,E-4251402600176,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
GL960015,Flip-Sketch Sketch Books 5 x 7 Pool,6.96845E+11,4.0,4.11,-,-,-,-,16.44,,155.0,Shipped 05/15/2023,43275.0,,FLIP-SKT BK 5X7 POOL 100SH,4.0,4.0,0.0,10.25,57.5,4.36,BK,17.44,U-696844960152,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,True
GL960030,Flip-Sketch Sketch Books 6 X 9 Mist,6.96845E+11,4.0,5.13,-,-,-,-,20.52,,156.0,Shipped 05/15/2023,43277.0,,FLIP-SKT BK 6X9 MIST 100SH,4.0,4.0,0.0,12.8,57.5,5.44,BK,21.76,U-696844960305,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,True
DPDGG09-30,Galaxy Glitter Paint (Big Bang),7.66218E+11,3.0,1.49,-,-,-,-,4.47,,157.0,Shipped 05/15/2023,88460.0,,GALAXY GLITTR 2OZ BIG BANG,3.0,3.0,0.0,3.32,55.0,1.49,BO,4.47,U-766218112101,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
DPDGG04-30,Galaxy Glitter Paint (Red Nebula),7.66218E+11,3.0,1.25,-,-,-,-,3.75,,158.0,Shipped 05/15/2023,88454.0,,GALAXY GLITTR 2OZ RED NEBULA,3.0,3.0,0.0,3.32,55.0,1.49,BO,4.47,U-766218112057,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
ELE-309,Glue School Elmer's 9 Ounce Clear,26000003094,4.0,4.25,-,-,-,-,17.0,,162.0,Shipped 05/15/2023,81348.0,,ELMERS CLEAR SCHOOL GLUE 9 OZ,4.0,4.0,0.0,8.5,55.0,3.83,EA,15.32,U-026000003094,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,True
CE3446-02,Googly Eyes Assorted Sizes 100 Pack,21196344624,6.0,2.1,-,-,-,-,12.6,,163.0,Shipped 05/15/2023,57973.0,,WIGGLE EYES BLK ASST SZ 100PK,6.0,6.0,0.0,4.19,50.0,2.1,BG,12.6,U-021196344624,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
RYGOU12,Gouache Artist Paint 12 Color Set 12 ml Tubes,90672028594,4.0,3.8,-,-,-,-,15.2,,164.0,Shipped 05/15/2023,59850.0,,GOUCHE ARTST 12ML 12 CLR SET,4.0,4.0,0.0,9.99,62.0,3.8,SE,15.2,U-090672028594,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
MR0145000101,Graphix Aqua Pen 6 Color Set Make Manga,4.00775E+12,4.0,7.65,-,-,-,-,30.6,,166.0,Shipped 05/15/2023,84647.0,,GRAPX AQUA PEN MAKEMANGA SET/6,4.0,4.0,0.0,17.99,55.0,8.1,SE,32.4,E-4007751629128,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
FC9121212,Grip Watercolor Ecopencils 12 Piece Pack,92633702710,6.0,4.32,-,-,-,-,25.92,,167.0,Shipped 05/15/2023,33908.0,,GRIP WATERCLR ECOPENCILS 12CT,6.0,6.0,0.0,8.0,46.0,4.32,SE,25.92,U-092633702710,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
PLKN105-A,Hybrid Technica Pen Black (.5mm),72512242452,13.0,1.73,-,-,-,-,22.49,,169.0,Shipped 05/15/2023,31790.0,,HYBRID TECHNICA .5MM BLK,13.0,13.0,0.0,3.2,46.0,1.73,PE,22.49,U-072512242452,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,True
SA1953513,Inkjoy Gel Pen 0.7mm (Pink),71641100916,6.0,1.85,-,-,-,-,11.1,,170.0,Shipped 05/15/2023,73675.0,,INKJOY GEL PINK UPC 0.7,6.0,6.0,0.0,3.42,46.0,1.85,PE,11.1,U-071641100916,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,True
AA17348,Double Ball Stylus Embossing Tool,82435173481,3.0,1.17,-,-,-,-,3.51,,172.0,Shipped 05/15/2023,22108.0,,DBL BALL STYLUS EMBOSS TOOL,3.0,3.0,0.0,3.89,65.0,1.36,CD,4.08,U-082435173481,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
JAJID1301,Dye Fixative for Natural Fibers,7.43772E+11,3.0,2.55,-,-,-,-,7.65,,174.0,Shipped 05/15/2023,56828.0,,DYE FIXATIVE 14GM PK,3.0,3.0,0.0,5.19,50.0,2.6,PK,7.8,U-743772027287,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
PLPTS-15,Dyeing Pastel Set of 15,72512009291,6.0,2.63,-,-,-,-,15.78,,175.0,Shipped 05/15/2023,5142.0,,DYEING PASTEL SET OF 15,6.0,6.0,0.0,5.25,52.5,2.49,SE,14.94,U-072512009291,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,True
MDEPASTUFF,Early Start Stuff For Painting 5 Piece Set,9.31331E+12,3.0,5.5,-,-,-,-,16.5,,176.0,Shipped 05/15/2023,90544.0,,ES STUFF FOR PAINTING,3.0,3.0,0.0,10.99,50.0,5.5,EA,16.5,E-9313306052453,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
FC166399,Ecco Pigment Pen Black (.3mm),4.0054E+12,5.0,1.45,-,-,-,-,7.25,,177.0,Shipped 05/15/2023,74823.0,,ECCO PIGMNT FIBRE TIP 0.3 BLK,5.0,5.0,0.0,3.25,52.5,1.54,PE,7.7,E-4005401663997,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
TN11509901,Ecoline Watercolor Brush Pen Pastel Set of 5,8.71208E+12,2.0,10.33,-,-,-,-,20.66,,178.0,Shipped 05/15/2023,83768.0,,ECOLINE WC BRUSHPEN PASTL SE/5,2.0,2.0,0.0,22.95,59.5,9.29,SE,18.58,E-8712079408275,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
MDM027727,Egg Chalk 6 Color Set,9.31331E+12,5.0,3.5,-,-,-,-,17.5,,179.0,Shipped 05/15/2023,90553.0,,ES EGG CHALK,5.0,5.0,0.0,6.99,52.5,3.32,EA,16.6,E-9313306027727,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,True
UX248310000,EMOTT 5 Pen Set (#4),4.90278E+12,6.0,7.0,-,-,-,-,42.0,,180.0,Shipped 05/15/2023,89048.0,,EMOTT 0.4MM FINE 5CT SET#4,6.0,0.0,0.0,14.1,55.0,6.35,SE,0.0,E-4902778248317,3003330000.0,ALB1381,N3240731,0.0,14596857.0,,True
DPDPM04-30,Extreme Sheen (24K Gold),7.66218E+11,6.0,1.53,-,-,-,-,9.18,,182.0,Shipped 05/15/2023,80112.0,,EXTREME SHEEN 2OZ 24K GOLD,6.0,6.0,0.0,3.42,55.0,1.54,BO,9.24,U-766218096890,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
DPDPM30-30,Extreme Sheen (Deep Sapphire),7.66218E+11,3.0,1.54,-,-,-,-,4.62,,183.0,Shipped 05/15/2023,87164.0,,EXTREME SHEEN 2OZ DEEP SAPPHRE,3.0,3.0,0.0,3.42,55.0,1.54,BO,4.62,U-766218113382,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
DPDPM03-30,Extreme Sheen (Rose Gold),7.66218E+11,4.0,1.53,-,-,-,-,6.12,,185.0,Shipped 05/15/2023,80111.0,,EXTREME SHEEN 2OZ ROSE GOLD,4.0,4.0,0.0,3.42,55.0,1.54,BO,6.16,U-766218096883,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
DPDPM05-30,Extreme Sheen (Vintage Brass),7.66218E+11,4.0,1.54,-,-,-,-,6.16,,187.0,Shipped 05/15/2023,80109.0,,EXTREME SHEEN 2OZ VINTG BRASS,4.0,4.0,0.0,3.42,55.0,1.54,BO,6.16,U-766218096906,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
CE3556,24 Gauge Silver Craft Wire 24 Yards,21196035560,4.0,3.35,-,-,-,-,13.4,,189.0,Shipped 05/15/2023,58004.0,,CRAFT WIRE 24YDS SILVR 24GAUGE,4.0,4.0,0.0,6.69,50.0,3.35,EA,13.4,U-021196035560,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
AL15633,Aleene's OK To Wash It 4oz,17754156334,4.0,2.0,-,-,-,-,8.0,,190.0,Shipped 05/15/2023,12299.0,,ALEENES OK TO WASH IT 4OZ,4.0,4.0,0.0,4.99,60.0,2.0,BO,8.0,U-017754156334,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,True
AL15599,Aleene's Tacky Glue Original 8 oz,17754155993,4.0,2.8,-,-,-,-,11.2,,191.0,Shipped 05/15/2023,973467.0,,ALEENES TACKY GLUE 8OZ SQZ,4.0,4.0,0.0,6.99,60.0,2.8,BO,11.2,U-017754155993,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,True
AA20132,Artist Tape .5 Inch 60 Yards,82435201320,3.0,4.95,-,-,-,-,14.85,,192.0,Shipped 05/15/2023,300365.0,,TAPE ARTIST WHITE 1/2INX60YD,3.0,3.0,0.0,11.49,55.0,5.17,RL,15.51,U-082435201320,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,True
RYRD88,Blending Stumps 3 Pack,90672008534,3.0,0.95,-,-,-,-,2.85,,193.0,Shipped 05/15/2023,222100.0,,BLENDING STUMPS 3/PK,3.0,3.0,0.0,2.49,62.0,0.95,PK,2.85,U-090672008534,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,True
YOCC1,Calli-Sumi Brush 1-1/8 inch,31248010759,3.0,1.96,-,-,-,-,5.88,,195.0,Shipped 05/15/2023,172421.0,,CALLI-SUMI BRSH 1-1/8 INCH,3.0,3.0,0.0,4.9,64.0,1.76,BR,5.28,U-031248010759,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,True
GP5630ABP,Charcoal Peel and Sketch Kit,44974563031,3.0,2.78,-,-,-,-,8.34,,197.0,Shipped 05/15/2023,948403.0,,CHARCOAL PEEL/SKETCH KIT,3.0,3.0,0.0,5.56,50.0,2.78,SE,8.34,U-044974563031,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,True
GP59P-BP,Charcoal Pencils 4 Pack,44974590303,4.0,4.4,-,-,-,-,17.6,,198.0,Shipped 05/15/2023,5242.0,,PRIMO EURO CHRCL PNCLS 4/CD,4.0,4.0,0.0,8.79,50.0,4.4,CD,17.6,U-044974590303,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
HX36001,Circle Ruler 12 Inch,79252360019,3.0,2.53,-,-,-,-,7.59,,200.0,Shipped 05/15/2023,7156.0,,CIRCLE RULER 12IN ASST COLORS,3.0,3.0,0.0,4.69,46.0,2.53,EA,7.59,U-079252360019,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
RHC96621,Clairefontaine Graf It 6 X 8 Sketch Pad 80 Sheets,3.32968E+12,6.0,3.25,-,-,-,-,19.5,,201.0,Shipped 05/15/2023,45737.0,,CF GRAFIT 90G 80SH SKETCH 6X8,6.0,6.0,0.0,7.5,55.0,3.38,PD,20.28,E-3329680966213,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,True
DT387000,Clay Das 1.1 Pound White,8.00014E+12,12.0,2.58,-,-,-,-,30.96,,202.0,Shipped 05/15/2023,293814.0,,CLAY DAS PRONTO WHITE 1.1 LBS,12.0,12.0,0.0,9.5,72.0,2.66,EA,31.92,E-8000144074112,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,True
DT387500,Clay Das 2.2 Pound White,8.00014E+12,14.0,4.98,-,-,-,-,69.72,,203.0,Shipped 05/15/2023,293938.0,,CLAY DAS PRONTO WHITE 2.2 LBS,14.0,14.0,0.0,15.75,67.5,5.12,EA,71.68,E-8000144074105,3003330000.0,ALB1381,N3240731,0.0,14596857.0,Multiple Cartons,True
CB1200107-3,Collage Board 15 X 20 White,93924180330,15.0,2.36,-,-,-,-,35.4,,,,,,,,,,,,,,,,,,,,,,True
BEAWD-182404,Colored Copper 18 Gauge Craft Wire (Antique Brass),6.56156E+11,2.0,2.5,-,-,-,-,5.0,,206.0,Shipped 05/15/2023,61455.0,,ARTISTIC WIRE 18GA AN BRS 4YD,2.0,2.0,0.0,5.25,50.0,2.63,CD,5.26,U-656156061794,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
AA27180,Compass & Protractor Set,82435271804,3.0,2.11,-,-,-,-,6.33,,207.0,Shipped 05/15/2023,22392.0,,PROTRACTOR & COMPASS SET,3.0,3.0,0.0,4.69,55.0,2.11,SE,6.33,U-082435271804,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,True
GP958-BP,Compressed Charcoal White 4 Pack,44974958042,4.0,2.39,-,-,-,-,9.56,,208.0,Shipped 05/15/2023,695165.0,,COMPEA CHAR 4/STX WHITE,4.0,4.0,0.0,4.78,50.0,2.39,CD,9.56,U-044974958042,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,True
WN0390373,Cotman Watercolor Pocket Plus Set,94376954364,3.0,15.25,-,-,-,-,45.75,,209.0,Shipped 05/15/2023,996771.0,,COTMAN WC POCKET PLUS SET,3.0,3.0,0.0,35.49,59.5,14.37,SE,43.11,U-094376954364,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,True
AWCT2103,Craft-tastic Mermaid Potions Kit,8.11069E+11,1.0,10.0,-,-,-,-,10.0,,210.0,Shipped 05/15/2023,100168.0,,MERMAID POTIONS KIT,1.0,1.0,0.0,20.99,50.0,10.5,EA,10.5,U-811069030996,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
GD1100-2,Golden Heavy Body Acrylic 2 Oz. (Cadmium Red Medium),7.38797E+11,2.0,12.35,-,-,-,-,24.7,,212.0,Shipped 05/15/2023,838470.0,,HB ACR CP CAD RED MED 2oz,2.0,2.0,0.0,27.29,52.5,12.96,TU,25.92,U-738797110021,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
GD1380-2,Golden Heavy Body Acrylic 2 Oz. (Titanium White),7.38797E+11,2.0,5.65,-,-,-,-,11.3,,213.0,Shipped 05/15/2023,833738.0,,HB ACR TITANIUM WHITE 2oz,2.0,2.0,0.0,12.49,52.5,5.93,TU,11.86,U-738797138025,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,True
GD1407-2,Golden Heavy Body Acrylic 2 Oz. (Yellow Ochre),7.38797E+11,2.0,5.65,-,-,-,-,11.3,,214.0,Shipped 05/15/2023,830933.0,,HB ACR YELLOW OCHRE 2oz,2.0,2.0,0.0,12.49,52.5,5.93,TU,11.86,U-738797140721,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
JAJID1424,iDye Natural Fabrics (Chestnut),7.43772E+11,3.0,2.25,-,-,-,-,6.75,,215.0,Shipped 05/15/2023,17325.0,,IDYE CHESTNUT 14GM PK,3.0,3.0,0.0,5.19,50.0,2.6,PK,7.8,U-743772022800,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,True
LA453,Lama Li Lokta Paper Hydrangea,7.19723E+11,15.0,2.44,-,-,-,-,36.6,,219.0,Shipped 05/15/2023,94531.0,,LOKTA 60GSM 20X30 HYDRANGEA,15.0,15.0,0.0,6.1,62.0,2.32,SH,34.8,U-719722824534,3003330000.0,ALB1381,N3240731,0.0,14596857.0,Multiple Cartons,True
UC4100S-BRSH,LePen Drawing Black (Brush),28617411309,6.0,1.0,-,-,-,-,6.0,,221.0,Shipped 05/15/2023,74995.0,,LE PEN DRAWING BRUSH BLACK,6.0,6.0,0.0,2.19,50.0,1.1,PE,6.6,U-028617411309,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,True
LQ4260234,Acrylic Ink 30ML (Iridescent Bright Gold),94376975857,2.0,4.23,-,-,-,-,8.46,,223.0,Shipped 05/15/2023,19094.0,,LIQ INK 30ML JAR IRID BRT GOLD,2.0,2.0,0.0,9.39,55.0,4.23,JA,8.46,U-094376975857,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,True
LQ4260236,Acrylic Ink 30ML (Iridescent Bright Silver),94376975864,2.0,4.23,-,-,-,-,8.46,,224.0,Shipped 05/15/2023,19095.0,,LIQ INK 30ML JAR IRID BRT SLVR,2.0,2.0,0.0,9.39,55.0,4.23,JA,8.46,U-094376975864,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
LQ1046128,Acrylic Paint Liquitex Basics 4 Ounce (Burnt Umber),94376922332,6.0,4.23,-,-,-,-,25.38,,225.0,Shipped 05/15/2023,667269.0,,BASICS 4OZ BURNT UMBER,6.0,6.0,0.0,9.39,55.0,4.23,TU,25.38,U-094376922332,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,True
LQ1046470,Acrylic Paint Liquitex Basics 4 Ounce (Cerulean Blue),94376922523,6.0,4.23,-,-,-,-,25.38,,226.0,Shipped 05/15/2023,667080.0,,BASICS 4OZ CERULEAN BLUE,6.0,6.0,0.0,9.39,55.0,4.23,TU,25.38,U-094376922523,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,True
LQ1046317,Acrylic Paint Liquitex Basics 4 Ounce (Phthalocyanine Green),94376922455,6.0,4.23,-,-,-,-,25.38,,227.0,Shipped 05/15/2023,667048.0,,BASICS 4OZ PHTHALOCYANINE GREE,6.0,6.0,0.0,9.39,55.0,4.23,TU,25.38,U-094376922455,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,True
LQ1046420,Acrylic Paint Liquitex Basics 4 Ounce (Primary Blue),94376931242,8.0,4.23,-,-,-,-,33.84,,228.0,Shipped 05/15/2023,218553.0,,BASICS 4OZ PRIMARY BLUE,8.0,8.0,0.0,9.39,55.0,4.23,TU,33.84,U-094376931242,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,True
LQ7508,Liquitex Glazing Medium 8 ounce,94376931594,2.0,9.18,-,-,-,-,18.36,,229.0,Shipped 05/15/2023,194638.0,,GLAZING MEDIUM  8OZ,2.0,2.0,0.0,20.39,55.0,9.18,BO,18.36,U-094376931594,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,True
JAJFC1036,Pinata Alcohol Ink (Pearl),7.43772E+11,1.0,1.85,-,-,-,-,1.85,,230.0,Shipped 05/15/2023,82379.0,,PINATA PEARL 1/2 OZ,1.0,1.0,0.0,4.29,52.5,2.04,BO,2.04,U-743772032243,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
JAJFC1017,Pinata Alcohol Ink (Sapphire Blue),7.43772E+11,2.0,1.99,-,-,-,-,3.98,,231.0,Shipped 05/15/2023,26819.0,,PINATA SAPPHIRE BLUE 1/2 OZ,2.0,2.0,0.0,4.29,52.5,2.04,BO,4.08,U-743772101710,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,True
SKXSDK05-49,Pigma Micron Pen 05 .45mm (Black),84511306448,24.0,1.67,-,-,-,-,40.08,,232.0,Shipped 05/15/2023,44393.0,,MICRON PEN .45MM BLACK,24.0,24.0,0.0,3.33,50.0,1.67,PE,40.08,U-084511306448,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,True
SK50319,Sakura Pigma Calligrapher Pen Assorted 3 Pack,53482503194,3.0,4.84,-,-,-,-,14.52,,233.0,Shipped 05/15/2023,49222.0,,PIGMA CALLIGRPHR PEN BLACK 3PK,3.0,3.0,0.0,10.39,50.0,5.2,PK,15.6,U-053482503194,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
SYP5109,Sculpey Premo Accents 2oz. (Opal),7.15892E+11,5.0,1.5,-,-,-,-,7.5,,234.0,Shipped 05/15/2023,75312.0,,PREMO 2OZ OPAL,5.0,5.0,0.0,3.29,50.0,1.65,EA,8.25,U-715891510964,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
SPB3400,Water Based Block Printing Ink 1.3 Ounce (Black),6.51032E+11,4.0,2.8,-,-,-,-,11.2,,235.0,Shipped 05/15/2023,28924.0,,BLOCK INK WS 1.25OZ BLACK,4.0,4.0,0.0,5.6,50.0,2.8,TU,11.2,U-651032034008,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,True
SP4196,Speedy Carve 9 x 11.75,6.51032E+11,3.0,15.62,-,-,-,-,46.86,,237.0,Shipped 05/15/2023,38821.0,,SPEEDY CARVE BLK 9X11.75,3.0,3.0,0.0,31.23,50.0,15.62,PK,46.86,U-651032041969,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777363,True
SP4107,Speedy Carve Stamp Block 3 x 4 inch,6.51032E+11,14.0,2.21,-,-,-,-,30.94,,238.0,Shipped 05/15/2023,944025.0,,SPEEDY CARVE STAMP BLOCK 3X4,14.0,14.0,0.0,4.42,50.0,2.21,EA,30.94,U-651032041075,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,True
SP4346,Speedy Cut Block 4 X 5.5 Inch,6.51032E+11,6.0,2.46,-,-,-,-,14.76,,239.0,Shipped 05/15/2023,85936.0,,SPEEDY CUT BLCK 4 X5-1/2,6.0,6.0,0.0,4.92,50.0,2.46,EA,14.76,U-651032043468,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,True
SA1742664,Sharpie Pen (Blue),71641000506,12.0,1.5,-,-,-,-,18.0,,240.0,Shipped 05/15/2023,19476.0,,SHARPIE PEN BLUE,12.0,12.0,0.0,2.92,46.0,1.58,PE,18.96,U-071641000506,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
SA1823889,Sharpie Permanent Marker Fine Metallic (Gold),71641054905,7.0,1.29,-,-,-,-,9.03,,241.0,Shipped 05/15/2023,48616.0,,SHRP METL FINE GOLD U,7.0,7.0,0.0,2.81,50.0,1.41,PE,9.87,U-071641054905,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,True
